Included in Data Table?,PaperID,Expertise IV or Expert sample,Sample(s),DV,Lead Author,Year,Title,Abstract,Journal,Volume,Start Page,End Page,Database,Authors,
9,149,9,Younger vs older ppn,recall,Meyer,2001,Effects of structure strategy training and signaling on recall of text,"Younger and older adults participated in 9 hr of either structure strategy training, interest strategy training, or no training. Both trained groups reported positive changes in reading, but only the structure strategy group showed increased total recall from a variety of texts and an informative video. Structure strategy training increased the amount of information remembered as well as recall of the most important information. This training affected the organization of recall and was critical for producing readers who could use the structure strategy consistently across a variety of expository texts. In addition, it helped learners use signals in text more effectively. There was an additive effect of training plus signaling for use of the structure strategy consistently across five passages. The strategy switch hypothesis was supported, indicating that signaling affects encoding rather than retrieval processes. The findings have implications for both reading and writing. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Educational Psychology,93,141,159,PsycARTICLES," Meyer, Bonnie J. F.
Meyer
Bonnie J. F.
Pennsylvania State U
Dept of Educational & School Psychology & Special Education
University Park
PA
US , Poon, Leonard W.
Poon
Leonard W.",
9,154,X,physcians,Trauma triage,Mohan,2018,Serious games may improve physician heuristics in trauma triage,"Trauma triage depends on fallible human judgment. We created two ""serious"" video game training interventions to improve that judgment. The interventions’ central theoretical construct was the representativeness heuristic, which, in trauma triage, would mean judging the severity of an injury by how well it captures (or ""represents"") the key features of archetypes of cases requiring transfer to a trauma center. Drawing on clinical experience, medical records, and an expert panel, we identified features characteristic of representative and nonrepresentative cases. The two interventions instantiated both kinds of cases. One was an adventure game, seeking narrative engagement; the second was a puzzle-based game, emphasizing analogical reasoning. Both incorporated feedback on diagnostic errors, explaining their sources and consequences. In a four-arm study, they were compared with an intervention using traditional text-based continuing medical education materials (active control) and a no-intervention (passive control) condition. A sample of 320 physicians working at nontrauma centers in the United States was recruited and randomized to a study arm. The primary outcome was performance on a validated virtual simulation, measured as the proportion of undertriaged patients, defined as ones who had severe injuries (according to American College of Surgeons guidelines) but were not transferred. Compared with the control group, physicians exposed to either game undertriaged fewer such patients [difference = −18%, 95% CI: −30 to −6%, P = 0.002 (adventure game); −17%, 95% CI: −28 to −6%, P = 0.003 (puzzle game)]; those exposed to the text-based education undertriaged similar proportions (difference = +8%, 95% CI: −3 to +19%, P = 0.15). (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)",PNAS Proceedings of the National Academy of Sciences of the United States of America,115,9204,9209,PsycINFO ," Mohan, Deepika
Mohan
Deepika
Department of Critical Care Medicine
University of Pittsburgh
Pittsburgh
PA
US , Fischhoff, Baruch
Fischhoff
Baruch
Department of Engineering and Public Policy
Carnegie Mellon University
Pittsburgh
PA
US
baruch@cmu.edu
0000-0002-3030-6874 , Angus, Derek C.
Angus
Derek C.
Department of Critical Care Medicine
University of Pittsburgh
Pittsburgh
PA
US , Rosengart, Matthew R.
Rosengart
Matthew R.
Department of Surgery
University of Pittsburgh
Pittsburgh
PA
US , Wallace, David J.
Wallace
David J.
Department of Critical Care Medicine
University of Pittsburgh
Pittsburgh
PA
US , Yealy, Donald M.
Yealy
Donald M.
Department of Emergency Medicine
University of Pittsburgh
Pittsburgh
PA
US , Farris, Coreen
Farris
Coreen
RAND Corporation
Pittsburgh
PA
US , H. Chang, Chung-Chou
H. Chang
Chung-Chou
Department of Critical Care Medicine
University of Pittsburgh
Pittsburgh
PA
US , Kerti, Samantha
Kerti
Samantha
Department of Critical Care Medicine
University of Pittsburgh
Pittsburgh
PA
US , Barnato, Amber E.
Barnato
Amber E.
Dartmouth Institute
Geisel School of Medicine at Dartmouth
Lebanon
NH
US",
,158,X,Older vs younger pilots,Short term memory,Morrow,1994,When expertise reduces age differences in performance,"Examined whether aviation expertise reduces age differences in a laboratory task that was similar to routine air traffic control (ATC) communication. In Exp 1, older (mean age 66.6 yrs) and younger (mean age 29.0 yrs) pilots and age-matched nonpilots read typical ATC messages (e.g., commands to change aircraft heading). After each message, they read back (repeated) the commands, which is a routine ATC procedure requiring short-term memory. Ss also performed less domain-relevant tasks. Expertise eliminated age differences in repeating heading commands but did not reduce age differences for the less relevant tasks. In Exp 2, expertise reduced but did not eliminate age differences in repeating heading commands from spoken messages. Results suggest that expertise compensates age declines in resources when the task is highly domain relevant. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Psychology and Aging,9,134,148,PsycARTICLES," Morrow, Daniel
Morrow
Daniel
Decision Systems, Los Altos, CA
US , Leirer, Von
Leirer
Von , Altiteri, Patsy
Altiteri
Patsy , Fitzsimmons, Colleen
Fitzsimmons
Colleen",
,159,X,young vs older pilots,accuracy,Morrow,1992,"Aging, expertise, and narrative processing","In a study of how aviation expertise influences age differences in narrative processing, young and older pilots and nonpilots read and recalled aviation and general narratives. They chose referents for sentences referring to a protagonist or minor character mentioned 1 sentence (recent character) or 3 sentences (distant character) before this target sentence. All groups chose referents less accurately for sentences about distant and minor characters than about recent and protagonist characters, perhaps because these referents were less likely to be in working memory. Young readers and pilots were more accurate for distant and minor character target sentences in aviation narratives and recalled aviation narratives more accurately. Expertise did not reduce age differences. Expertise differences may reflect decreased demands on working memory capacity, and age declines may reflect reduced capacity. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Psychology and Aging,7,376,388,PsycARTICLES," Morrow, Daniel G.
Morrow
Daniel G.
Decision Systems, Los Altos, CA
US , Leirer, Von O.
Leirer
Von O. , Altieri, Patsy A.
Altieri
Patsy A.",
,160,X,expert vs novice rugby players,occlusion anticipation,Müller,2015,Does expert perceptual anticipation transfer to a dissimilar domain?,"The purpose of this experiment was to extend theoretical understanding of transfer of learning by investigating whether expert perceptual anticipation skill transfers to a dissimilar domain. The capability of expert and near-expert rugby players as well as novices to anticipate skill type within rugby (learning sport) was first examined using a temporal occlusion paradigm. Participants watched video footage of an opponent performing rugby skill types that were temporally occluded at different points in the opponent’s action and then made a written prediction. Thereafter, the capability of participants to transfer their anticipation skill to predict pitch type in baseball (transfer sport) was examined. Participants watched video footage of a pitcher throwing different pitch types that were temporally occluded and made a written prediction. Results indicated that expert and near-expert rugby players anticipated significantly better than novices across all occlusion conditions. However, none of the skill groups were able to transfer anticipation skill to predict pitch type in baseball. The findings of this paper, along with existing literature, support the theoretical prediction that transfer of perceptual anticipation is expertise dependent and restricted to similar domains. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Human Perception and Performance,41,631,638,PsycARTICLES," Müller, Sean
Müller
Sean
School of Psychology and Exercise Science, Murdoch University
Perth
WAU
Australia
s.muller@murdoch.edu.au , McLaren, Michelle
McLaren
Michelle
School of Psychology and Exercise Science, Murdoch University
Perth
WAU
Australia , Appleby, Brendyn
Appleby
Brendyn
Hockey Australia
Perth
WAU
US , Rosalie, Simon M.
Rosalie
Simon M.
School of Physiotherapy and Exercise Science, Curtin University
Perth
WAU
Australia",
,161,X,Skilled and less skilled tennis players,Judging final shots,Murphy,2016,"Contextual information and perceptual-cognitive expertise in a dynamic, temporally-constrained task","Skilled performers extract and process postural information from an opponent during anticipation more effectively than their less-skilled counterparts. In contrast, the role and importance of contextual information in anticipation has received only minimal attention. We evaluate the importance of contextual information in anticipation and examine the underlying perceptual-cognitive processes. We present skilled and less-skilled tennis players with normal video or animated footage of the same rallies. In the animated condition, sequences were created using player movement and ball trajectory data, and postural information from the players was removed, constraining participants to anticipate based on contextual information alone. Participants judged ball bounce location of the opponent’s final occluded shot. The 2 groups were more accurate than chance in both display conditions with skilled being more accurate than less-skilled (Exp. 1) participants. When anticipating based on contextual information alone, skilled participants employed different gaze behaviors to less-skilled counterparts and provided verbal reports of thoughts which were indicative of more thorough evaluation of contextual information (Exp. 2). Findings highlight the importance of both postural and contextual information in anticipation and indicate that perceptual-cognitive expertise is underpinned by processes that facilitate more effective processing of contextual information, in the absence of postural information. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Applied,22,455,470,PsycARTICLES," Murphy, Colm P.
Murphy
Colm P.
Department of Life Sciences
Brunel University
London
United Kingdom
colm.murphy@brunel.ac.uk , Jackson, Robin C.
Jackson
Robin C.
School of Sport, Exercise and Health Sciences, Loughborough University
United Kingdom , Cooke, Karl
Cooke
Karl
Lawn Tennis Association
Roehampton
United Kingdom , Roca, André
Roca
André
School of Sport, Health and Applied Science, St Mary’s University
Twickenham
United Kingdom , Benguigui, Nicolas
Benguigui
Nicolas
d’Etude Sport et Actions Motrices, University of Caen Normandy
France , Williams, A. Mark
Williams
A. Mark
Department of Life Sciences
Brunel University
London
United Kingdom",
,162,X,novice vs expert soccer player,option generation and selection,Musculus,2018,"Do the best players ""take-the-first""? Examining expertise differences in the option-generation and selection processes of young soccer players","Expertise research in sports has established expert–novice differences in the decision-making of adults. Yet, little is known about whether expertise differences in decision making, that is, option generation and selection, are already evident in young players. To inform talent identification and development, this study investigated differences between young expert (n = 86) and near-expert soccer players (n = 83) regarding the option-generation and selection processes predicted by the Take-The-First (TTF) heuristic. Further, based on ecological rationality, the effect of time pressure on young players’ option generation and selection was examined. Young players’ (N = 169; Mage = 11.32, SDage = 1.77) option-generation and selection processes were assessed in a video-based soccer task using temporal occlusion. It was revealed that young expert players generated fewer options and selected the first as the best option more often than near-experts. This result underlines the importance of considering option generation when investigating expertise development. In addition, time pressure promoted the generation of fewer but better options and fostered the use of the Take-The-First heuristic. Thus, the present study highlights the ability of young players to adapt their decision strategy to the situation and theoretically extends decision-making research in sports by specifying the effect of time pressure. Further, practical implications for theory-based diagnostics and decision-making training are discussed. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)","Sport, Exercise, and Performance Psychology",7,271,283,PsycARTICLES," Musculus, Lisa
Musculus
Lisa
German Sport University
Köln
Germany
lisa.musculus@gmail.com",
,165,X,Conservatives vs liberals,Moral decisions,Needham-Penrose,2012,Moral identity versus moral reasoning in religious conservatives: Do Christian evangelical leaders really lack moral maturity?,"Research using moral dilemmas has consistently found religious conservatives make poorer moral decisions than liberals. A sample of 104 Evangelical Christians leaders were found to score poorly in moral reasoning using this approach, but were also found to have high moral identity. Their moral identity correlated highly with self-reported moral behavior, yet their moral decision-making did not, suggesting moral identity is more salient than decision-making in their moral development. A subsample of 10 who scored low on moral decision-making but high on other moral indicators was qualitatively found to have a sophisticated morality based on different assumptions than used in past research. These findings are discussed in terms of bias in past research using moral dilemmas that denigrate religious conservatives. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",The Humanistic Psychologist,40,343,363,PsycARTICLES," Needham-Penrose, Judith
Needham-Penrose
Judith
Saybrook University
CA
US
jneedham@WesternSeminary.edu , Friedman, Harris L.
Friedman
Harris L.
Saybrook University
CA
US",
,170,X,Younger vs older ,cognitive abilities,Nunes,2009,Experience-based mitigation of age-related performance declines: Evidence from air traffic control,"[Correction Notice: An erratum for this article was reported in Vol 15(2) of Journal of Experimental Psychology: Applied (see record 2009-09189-003). In the article, the URL published for the supplemental material was incorrect. The correct URL is http://dx.doi.org/10.1037/a0014947.supp] Previous research has found age-related deficits in a variety of cognitive processes. However, some studies have demonstrated age-related sparing on tasks where individuals have substantial experience, often attained over many decades. Here, the authors examined whether decades of experience in a fast-paced demanding profession, air traffic control (ATC), would enable older controllers to perform at high levels of proficiency. The authors also investigated whether older controllers would show diminished age-related decrements on domain-relevant cognitive abilities. Both young and old controllers and noncontrollers performed a battery of cognitive and ATC tasks. Results indicate that although high levels of experience can reduce the magnitude of age-related decline on the component processes that underlie complex task performance, this sparing is limited in scope. More important, however, the authors observed experience-based sparing on simulated ATC tasks, with the sparing being most evident on the more complex air traffic control tasks. These results suggest that given substantial experience, older adults may be quite capable of performing at high levels of proficiency on fast-paced demanding real-world tasks. The implications of these findings for global skilled labor shortages are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Applied,15,12,24,PsycARTICLES," Nunes, Ashley
Nunes
Ashley
University of Illinois at Urbana-Champaign
Urbana
IL
US , Kramer, Arthur F.
Kramer
Arthur F.
University of Illinois at Urbana-Champaign
Urbana
IL
US
akramer@s.psych.uiuc.edu",
,171,X,Experts v novice ,Detecting lies from children,Nysse-Carris,2011,Experts' and novices' abilities to detect children's high-stakes lies of omission,"We investigated adults' abilities to detect lies told by 3- to 6-year-old children. Expert forensic interviewers and novices watched videotapes of children who either lied or told the truth about their parent's transgression, rendered a dichotomous judgment of whether the child lied, rated their confidence in that judgment, and rated the children on various characteristics. Adults detected lies with greater than chance—but not impressive—accuracy, regardless of expertise level. Older children's lies were more detectable by experts than were younger children's. Adults were more confident in their judgments about older than younger children. Confidence in lie/truth judgments was not significantly correlated with actual lie detection accuracy. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","Psychology, Public Policy, and Law",17,76,98,PsycARTICLES," Nysse-Carris, Kari L.
Nysse-Carris
Kari L.
National Opinion Research Center (NORC) at the University of Chicago
Chicago
IL
US , Bottoms, Bette L.
Bottoms
Bette L.
Department of Psychology, University of Illinois at Chicago
Chicago
IL
US
bbottoms@uic.edu , Salerno, Jessica M.
Salerno
Jessica M.
Department of Psychology, University of Illinois at Chicago
Chicago
IL
US",
,172,X,dental/non-dental students,ability to state whether two bitemarks matched,Osborne,2014,Does contextual information bias bitemark comparisons?,"A growing body of research suggests that the interpretation of fingerprint evidence is open to contextual bias. While there has been suggestion in the literature that the same might apply to bitemarks - a form of identification evidence in which a degree of contextual information during the comparison phase is generally unavoidable there have so far been no empirical studies to test this assertion. We explored dental and non-dental students' ability to state whether two bitemarks matched, while manipulating task ambiguity and the presence and emotional intensity of additional contextual information. Provision of the contextual information influenced participants' decisions on the ambiguous bitemarks. Interestingly, when participants were presented with highly emotional images and subliminally primed with the words 'same' and 'guilty', they made fewer matches relative to our control condition. Dental experience also played a role in decision-making, with dental students making more matches as the experiment progressed, regardless of context or task ambiguity. We discuss ways that this exploratory research can be extended in future studies. (C) 2013 The Chartered Society of Forensic Sciences. Published by Elsevier Ireland Ltd. All rights reserved.",SCIENCE & JUSTICE,54,267,273,Web of Science,"Osborne, Nikola K. P.; Woods, Sally; Kieser, Jules; Zajac, Rachel",
,176,X,experts vs residents,error detection and correction,Patel,2011,Recovery at the edge of error: Debunking the myth of the infallible expert,"The notion that human error should not be tolerated is prevalent in both the public and personal perception of the performance of clinicians. However, researchers in other safety-critical domains have long since abandoned the quest for zero defects as an impractical goal, choosing to focus instead on the development of strategies to enhance the ability to recover from error. This paper presents a cognitive framework for the study of error recovery, and the results of our empirical research into error detection and recovery in the critical care domain, using both laboratory-based and naturalistic approaches. Both attending physicians and residents were prone to commit, detect and recover from errors, but the nature of these errors was different. Experts corrected the errors as soon as they detected them and were better able to detect errors requiring integration of multiple elements in the case. Residents were more cautious in making decisions showing a slower error recovery pattern, and the detected errors were more procedural in nature with specific patient outcomes. Error detection and correction are shown to be dependent on expertise, and on the nature of the everyday tasks of the clinicians concerned. Understanding the limits and failures of human decision-making is important if we are to build robust decision-support systems to manage the boundaries of risk of error in decision-making. Detection and correction of potential error is an integral part of cognitive work in the complex, critical care workplace. (C) 2010 Elsevier Inc. All rights reserved.",JOURNAL OF BIOMEDICAL INFORMATICS,44,413,424,Web of Science,"Patel, Vimla L.; Cohen, Trevor; Murarka, Tripti; Olsen, Joanne; Kagita, Srujana; Myneni, Sahiti; Buchman, Timothy; Ghaemmaghami, Vafa",
9,177,X,Experienced operators with more training,Diagnosis of multiple faults,Patrick,1999,Training to break the barriers of habit in reasoning about unusual faults,"Two studies of experienced operators in a process-control plant aimed to improve diagnosis of unusual multiple faults through training. A process-tracing methodology analyzed operators' concurrent verbalizations and actions during simulated fault scenarios. In Study 1, training increased awareness of multiple faults and provided a heuristic for switching to a representation that included multiple-fault hypotheses. Training had no effect on diagnostic accuracy, although fewer incorrect single-fault hypotheses were regenerated. In Study 2, operators practiced identifying the inconsistencies between a single-fault hypothesis and fault symptoms and modifying this hypothesis into a consistent multiple-fault hypothesis. Training improved diagnostic accuracy because of improved hypothesis modification processes. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Experimental Psychology: Applied,5,314,335,PsycARTICLES," Patrick, John
Patrick
John
Cardiff U
School of Psychology
Cardiff
Wales , Grainger, Leigh
Grainger
Leigh , Gregov, Anna
Gregov
Anna , Halliday, Polly
Halliday
Polly , Handley, Jim
Handley
Jim , James, Nic
James
Nic , O'Reilly, Sinéad
O'Reilly
Sinéad",
,181,X,Chest expert  v non-chest expert radiologists ,"Evaluating scans, rating confidence",Pietrzyk,2012,Indirect detection of pulmonary nodule on low-pass filtered and original x-ray images during limited and unlimited display times,"Aim: This study evaluates the assumption that global impression is created based on low spatial frequency components of posterior-anterior chest radiographs. Background: Expert radiologists precisely and rapidly allocate visual attention on pulmonary nodules chest radiographs. Moreover, the most frequent accurate decisions are produced in the shortest viewing time, thus, the first hundred milliseconds of image perception seems be crucial for correct interpretation. Medical image perception model assumes that during holistic analysis experts extract information based on low spatial frequency (SF) components and creates a mental map of suspicious location for further inspection. The global impression results in flagged regions for detailed inspection with foveal vision. Method: Nine chest experts and nine non-chest radiologists viewed two sets of randomly ordered chest radiographs under 2 timing conditions: (1) 300ms; (2) free search in unlimited time. The same radiographic cases of 25 normal and 25 abnormal digitalized chest films constituted two image sets: low-pass filtered and unfiltered. Subjects were asked to detect nodules and rank confidence level. MRMC ROC DBM analyses were conducted. Results: Experts had improved ROC AUC while high SF components are displayed (p=0.03) or while low SF components were viewed under unlimited time (p=0.02) compared with low SF 300mSec viewings. In contrast, non-chest radiologists showed no significant changes when high SF are displayed under flash conditions compared with free search or while low SF components were viewed under unlimited time compared with flash. Conclusion: The current medical image perception model accurately predicted performance for non-chest radiologists, however chest experts appear to benefit from high SF features during the global impression.",Proceedings of SPIE,8318,,,Web of Science,"Pietrzyk, Mariusz W.; McEntee, Mark; Evanoff, Michael G.; Brennan, Patrick C.",
,182,X,Nurse practitioners vs doctors ,Diagnostic accuracy ,Pirret,2015,Nurse practitioners versus doctors diagnostic reasoning in a complex case presentation to an acute tertiary hospital: A comparative study,"Background: Nurse practitioners perform a diagnostic role previously delivered by doctors. Multiple studies demonstrate nurse practitioners are as effective as doctors when managing chronic conditions and minor illnesses and injuries. No studies have focused on how nurse practitioners compare to doctors in their management of complex cases presenting for the first time. 

Objective: This study assessed how nurse practitioners' diagnostic reasoning abilities when managing a complex case compared to those of doctors'? 

Design: A comparative research design. 

Participants: Purposeful sampling recruited 30 nurse practitioners and 16 doctors working in multiple specialties in New Zealand. All doctors were completing postgraduate specialist training programmes. Specialties included older adults, emergency care, primary health care/general practice, cardiology, respiratory and palliative care. 

Methods: A complex case scenario assessed by an expert panel and think aloud protocol was used to assess diagnostic reasoning abilities. The ability of 30 nurse practitioners to determine diagnoses, identify the problem, and propose actions was compared to that of 16 doctors. Correct responses were determined by an expert panel. Data gained from the case scenario using think aloud protocol were quantified for analysis. 

Results: 61.9% of doctors identified the correct diagnoses, 56.3% the problem and 34.4% the actions as determined by the expert panel. This compares to 54.7% of nurse practitioners identifying the correct diagnoses, 53.3% the problem and 35.8% the actions. Analysis revealed no difference between these groups (diagnoses 95% CI: -1.76 to -0.32, p = 0.17, problem chi(2) = 0.00, p = 1.0, or actions 95% CI: -1.23 to 1.58, p = 0.80). 

Conclusion: Nurse practitioners' diagnostic reasoning abilities compared favourably to those of doctors in terms of diagnoses made, problems identified and action plans proposed from a complex case scenario. In times of global economic restraints this adds further support to alternative models of care. (C) 2014 Elsevier Ltd. All rights reserved.",INTERNATIONAL JOURNAL OF NURSING STUDIES,52,716,726,Web of Science,"Pirret, Alison M.; Neville, Stephen J.; La Grow, Steven J.",
,186,X,,,Put,2016,Using web-based training to enhance perceptual-cognitive skills in complex dynamic offside events,"In association football, the difficulty in making offside decisions depends on both perceptual and cognitive processes. Therefore, the objectives of the present study were to enhance the decision-making skills of assistant referees by further developing their ability to (1) time slice the incoming information flow into series of isolated time frames during an ongoing offside situation and (2) use this information to mentally read off the spatial positions of the key-role players. Training (n=10) and control groups (n=10) were exposed to a pre- and post-test, consisting of an offside decision-making and frame recognition test. In the latter, assistant referees were asked to indicate which of five photos best represented the spatial position of the defender and attacker at the moment of the pass. Only the training group received 12 web-based offside training sessions. First, the training group improved in mentally freezing, holding and scanning the mental picture of the offside situation in short-term memory from pre- to post-test, as evidenced by an increased recognition accuracy. Second, the improvement in recognition accuracy resulted in enhanced performance on the offside decision-making task. The benefits of web-based training are highlighted.",JOURNAL OF SPORTS SCIENCES,34,181,189,Web of Science,"Put, Koen; Wagemans, Johan; Spitz, Jochim; Williams, A. Mark; Helsen, Werner F.",
,187,X,International assistant referees vs amateur soccer players ,Response accuracy ,Put,2013,Experts in offside decision making learn to compensate for their illusory perceptions,"In association football, the flash-lag effect appears to be a viable explanation for erroneous offside decision making. Due to this spatiotemporal illusion, assistant referees (ARs) perceive the player who receives the ball ahead of his real position. In this experiment, a laboratory decision-making task was used to demonstrate that international top-class ARs, compared with amateur soccer players, do not have superior perceptual sensitivity. They clearly modify their decision criterion according to the contextual needs and, therefore, show a higher response bias toward not responding to the stimulus, in particular in the most difficult situations. Thus, international ARs show evidence for response-level compensation, resulting in a specific cost (i.e., more misses), which clearly reflects the use of particular (cognitive) strategies. In summary, it appears that experts in offside decision making can be distinguished from novices more on the cognitive or decision-making level than on the perceptual level. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Journal of Sport & Exercise Psychology,35,576,584,PsycINFO ," Put, Koen
Put
Koen
Department of Kinesiology
Movement Control and Neuroplasticity Research Group, University of Leuven (KU Leuven)
Leuven
Belgium , Baldo, Marcus V. C.
Baldo
Marcus V. C.
Department of Physiology and Biophysics
Institute of Biomedical Sciences, University of Sao Paulo
Sao Paulo
Brazil , Cravo, AndrÃ© M.
Cravo
AndrÃ© M.
Center for Mathematics, Computation and Cognition
Federal University of ABC
Federal
Brazil , Wagemans, Johan
Wagemans
Johan
Laboratory of Experimental Psychology
University of Leuven (KU Leuven)
Leuven
Belgium , Helsen, Werner F.
Helsen
Werner F.
Department of Kinesiology
Movement Control and Neuroplasticity Research Group, University of Leuven (KU Leuven)
Leuven
Belgium",
,189,X,Baseball pitchers,Type of pitch thrown/accuracy,Radlo,2001,Perceptual decision making for baseball pitch recognition: Using P300 latency and amplitude to index attentional processing,"This study was designed to examine the perceptual and attentional processes associated with the effects of administrating a cost-benefit precuing paradigm to intermediate and advance-level baseball batters. Psychophysiological and performance data obtained from 10 advanced and 10 intermediate-level players were completed. A total of 400 pitches (200 fastballs, 200 curveballs) was randomly presented via a large projection screen, and participants pressed one of two buttons to indicate the type of pitch thrown. Verbal precues were given for 300 of the pitches. Of those, 75% were valid, and 25% were invalid. Electroencephalographic data collected from the P-z location was used to assess the latency and amplitude of P300. Analysis of variance (Skill Level x Precue x Pitch) for P300 and reaction time (RT) indicated that intermediate batters produced shorter P300 latencies, larger P300 amplitudes, longer RTs, and less correct responses than the advanced batters; the effects were more pronounced for the curveballs. These results suggest that intermediate batters are less in their perceptual decision-making due to greater limitations in attentional capacity when compared with advanced batters.
",RESEARCH QUARTERLY FOR EXERCISE AND SPORT,72,22,31,Web of Science,"Radlo, SJ; Janelle, CM; Barba, DA; Frehlich, SG",
,190,X,experts v novice,error,Rebsamen,2010,"Quality control in the optical industry: From a work analysis of lens inspection to a training programme, an experimental case study","A cognitive work analysis of quality inspection in the optical industry has been carried out in order to devise a training programme. The task concerned the inspection of high quality human eyeglass lenses. We conducted an experimental investigation of defect detection and acceptability decision-making tasks in 18 experts and novice inspectors. Detection and decision-making were investigated together and separately in two experimental sessions. We showed the effect of expertise on reaction times and errors, and we described the cognitive processes of novice inspectors. On the basis of the processing differences between the two groups, a training programme for new inspectors was devised and described. Finally, training effects were tested. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Applied Ergonomics,41,150,160,PsycINFO ," Rebsamen, Maryline
Rebsamen
Maryline
Universite de Bourgogne
Laboratoire d’Etude de l’Apprentissage et du Developpement (LEAD-CNRS, UMR 5022), Pole AAFE
Dijon
France , Boucheix, Jean-Michel
Boucheix
Jean-Michel
Universite de Bourgogne
Laboratoire d’Etude de l’Apprentissage et du Developpement (LEAD-CNRS, UMR 5022), Pole AAFE
Dijon
France
jean-michel.boucheix@u-bourgogne.fr , Fayol, Michel
Fayol
Michel
Universite Blaise Pascal
Laboratoire de Psychologie Cognitive et Sociale, (LAPSCO-CNRS, UMR 6024)
Clermont-Ferrand
France",
,192,X,"intelligence agents, postcollege adults, college students",30 risky choice problems scores,Reyna,2014,Developmental reversals in risky decision making: Intelligence agents show larger decision biases than college students,"Intelligence agents make risky decisions routinely, with serious consequences for national security. Although common sense and most theories imply that experienced intelligence professionals should be less prone to irrational inconsistencies than college students, we show the opposite. Moreover, the growth of experience-based intuition predicts this developmental reversal . We presented intelligence agents, college students, and postcollege adults with 30 risky-choice problems in gain and loss frames and then compared the three groups’ decisions. The agents not only exhibited larger framing biases than the students, but also were more confident in their decisions. The postcollege adults (who were selected to be similar to the students) occupied an interesting middle ground, being generally as biased as the students (sometimes more biased) but less biased than the agents. An experimental manipulation testing an explanation for these effects, derived from fuzzy-trace theory, made the students look as biased as the agents. These results show that, although framing biases are irrational (because equivalent outcomes are treated differently), they are the ironical output of cognitively advanced mechanisms of meaning making. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Psychological Science,25,76,84,PsycINFO ," Reyna, Valerie F.
Reyna
Valerie F.
Department of Human Development
Cornell University
Ithaca
NY
US
vr53@cornell.edu , Chick, Christina F.
Chick
Christina F.
Department of Human Development
Cornell University
Ithaca
NY
US
0000-0002-6517-6213 , Corbin, Jonathan C.
Corbin
Jonathan C.
Department of Human Development
Cornell University
Ithaca
NY
US , Hsia, Andrew N.
Hsia
Andrew N.
Department of Human Development
Cornell University
Ithaca
NY
US",
,198,X,Skilled vs unskilled basketball players ,Response time and accuracy ,Ryu,2013,The role of central and peripheral vision in expert decision making,"The purpose of this study was to investigate the role of central and peripheral vision in expert decision making. A gaze-contingent display was used to selectively present information to the central and peripheral areas of the visual field while participants performed a decision-making task. Eleven skilled and eleven less-skilled male basketball players watched video clips of basketball scenarios in three different viewing conditions: full-image control, moving window (central vision only), and moving mask (peripheral vision only) At the conclusion of each clip participants were required to decide whether it was more appropriate for the ball-carrier to pass the ball or to drive to the basket. The skilled players showed significantly higher response accuracy and faster response times compared with their lesser-skilled counterparts in all three viewing conditions, demonstrating superiority in information extraction that held irrespective of whether they were using central or peripheral vision. The gaze behaviour of the skilled players was less influenced by the gaze-contingent manipulations, suggesting they were better able to use the remaining information to sustain their normal gaze behaviour. The superior capacity of experts to interpret dynamic visual information is evident regardless of whether the visual information is presented across the whole visual field or selectively to either central or peripheral vision alone. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Perception,42,591,607,PsycINFO ," Ryu, Donghyun
Ryu
Donghyun
Institute of Human Performance
University of Hong Kong
Pokfulam
Hong Kong
dhryu@hku.hk , Abernethy, Bruce
Abernethy
Bruce
Institute of Human Performance
University of Hong Kong
Pokfulam
Hong Kong , Mann, David L.
Mann
David L.
Institute of Human Performance
University of Hong Kong
Pokfulam
Hong Kong , Poolton, Jamie M.
Poolton
Jamie M.
Institute of Human Performance
University of Hong Kong
Pokfulam
Hong Kong , Gorman, Adam D.
Gorman
Adam D.
School of Human Movement Studies
University of Queensland
Brisbane
QLD
Australia",
