Included in Data Table?,PaperID,ExpertiseIVOp,Abstract,Lead Author,Year,Title,Journal,Volume,Start Page,End Page,Database,Authors
9,712,9,"Identifying factors that help or hinder new executives in ""getting up to speed"" quickly and remaining with an organization is vital to maximizing the effectiveness of executive development. The current study extends past research by examining extraversion as a moderator of relationships between leader-member exchange (LMX) and performance, turnover intentions, and actual turnover for an executive sample. The sample consisted of 116 new executives who were surveyed prior to starting their employment and at 3 months postentry. A total of 67 senior executives rated these new executives in terms of overall performance at 6 months postentry. Turnover data were gathered from company records 3 1/2 years later. Hierarchical regression results showed that LMX was not related to performance or turnover intentions for those high in extraversion; but for individuals low in extraversion, there was a relation between LMX, performance, and turnover intentions. Furthermore, survival analyses showed that LMX was only related to turnover-hazard rate for individuals low in extraversion. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Bauer,2006,"A longitudinal study of the moderating role of extraversion: Leader-member exchange, performance, and turnover during new executive development",Journal of Applied Psychology,91,298,310,PsycARTICLES,"Bauer, Talya N.;Erdogan, Berrin;Liden, Robert C.;Wayne, Sandy J."
9,713,4,"Background and Objectives Lack of advance care planning (ACP) may increase hospitalizations and impact the quality of life for skilled nursing facility (SNF) residents, especially African American residents who may be less likely to receive ACP discussions. We examined the professional judgments of SNF providers to see if race of SNF residents and providers, and risk for hospitalization for residents influenced professional judgments as to when ACP was needed and feelings of responsibility for ensuring ACP discussionsResearch Design and Methods Nurses and social workers (n = 350) within 29 urban SNFs completed surveys and rated vignettes describing eight typical SNF residents. Linear mixed modeling was used to examine factors that impacted ratings of need for ACP and responsibility for ensuring ACP.Results Neither the race of the provider, resident, nor the interaction of the two were associated with either outcome variable. In contrast, providers rated (on a 9-point scale) residents at high risk for hospitalization as more in need of ACP (estimate = 0.86, confidence interval [CI] 0.65, 1.07) and felt more responsible for ensuring ACP (estimate = 0.60, CI 0.42, 0.78)Discussion and Implications Research on ACP is continuing to evolve and these results show the primacy of disease trajectory variables on providers' judgments about ACP. Differences between providers indicate a need for stronger policies and education. Further, research comparing rural, suburban, and urban SNFs is needed to explore possible forms of structural racism such as residential and SNF segregation.",Baughman,2019,Advance Care Planning in Skilled Nursing Facilities: A Multisite Examination of Professional Judgments,GERONTOLOGIST,59,338,346,Web of Science,"Baughman, Kristin R.; Ludwick, Ruth; Jarjoura, David; Kropp, Denise; Shenoy, Vimal"
9,714,4,"Background: Current research on nonconscious stereotyping in healthcare is limited by an emphasis on practicing physicians' beliefs about African American patients and by heavy reliance on a measure of nonconscious processes that allows participants to exert control over their behaviors if they are motivated to appear nonbiased.Objectives: The present research examined whether nursing and medical students exhibit nonconscious activation of stereotypes about Hispanic patients using a task that subliminally primes patient ethnicity. It was hypothesized that participants would exhibit greater activation of noncompliance and health risk stereotypes after subliminal exposure to Hispanic faces compared with non-Hispanic White faces and, because ethnicity was primed outside of conscious awareness, that explicit motivations to control prejudice would not moderate stereotype activation.Methods: Nursing and medical students completed a sequential priming task that measured the speed with which they recognized words related to noncompliance and health risk after subliminal exposure to Hispanic and non-Hispanic White faces. They then completed explicit measures of their motivation to control prejudice against Hispanics.Results: Both nursing and medical students exhibited greater activation of noncompliance and health risk words after subliminal exposure to Hispanic faces, compared with non-Hispanic White faces. Explicit motivations to control prejudice did not moderate stereotype activation.Discussion: These findings show that, regardless of their motivation to treat Hispanics fairly, nursing and medical students exhibit nonconscious activation of negative stereotypes when they encounter Hispanics. Implications are discussed.",Bean,2013,Evidence of Nonconscious Stereotyping of Hispanic Patients by Nursing and Medical Students,NURSING RESEARCH,62,362,367,Web of Science,"Bean, Meghan G.; Stone, Jeff; Moskowitz, Gordon B.; Badger, Terry A.; Focella, Elizabeth S."
9,715,4,"Background/Purpose: The benefits of prescribing cardiac rehabilitation (CR) for patients following heart surgery is well documented; however, physicians continue to underuse CR programs, and disparities in the referral of women are common. Previous research into the causes of these problems has relied on self-report methods, which presume that physicians have insight into their referral behavior and can describe it accurately. In contrast, the research presented here used clinical judgment analysis (CJA) to discover the tacit judgment and referral policies of individual physicians. The specific aims were to determine 1) what these policies were, 2) the degree of self-insight that individual physicians had into their own policies, 3) the amount of agreement among physicians, and 4) the extent to which judgments were related to attitudes toward CR. Methods: Thirty-six Canadian physicians made judgments and decisions regarding 32 hypothetical cardiac patients, each described on 5 characteristics (gender, age, type of cardiovascular procedure, presence/absence of musculoskeletal pain, and degree of motivation) and then completed the 19 items of the Attitude towards Cardiac Rehabilitation Referral scale. Results: Consistent with previous studies, there was wide variation among physicians in their tacit and stated judgment policies, and self-insight was modest. On the whole, physicians showed evidence of systematic gender bias as they judged women as less likely than men to benefit from CR. Insight data suggest that 1 in 3 physicians were unaware of their own bias. There was greater agreement among physicians in how they described their judgments (stated policies) than in how they actually made them (tacit policies). Correlations between attitude statements and CJA measures were modest. Conclusions: These findings offer some explanation for the slow progress of efforts to improve CR referrals and for gender disparities in referral rates. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Beckstead,2014,Physicians’ tacit and stated policies for determining patient benefit and referral to cardiac rehabilitation,Medical Decision Making,34,63,74,PsycINFO,"Beckstead, Jason W.;Pezzo, Mark V.;Beckie, Theresa M.;Shahraki, Farnaz;Kentner, Amanda C.;Grace, Sherry L."
9,716,4,"Teacher judgments about students' academic abilities are important for several reasons, including their day-to-day instructional decision making. Not surprisingly, previous studies have investigated the accuracy of teachers' judgments about their students' reading abilities. Previous research, however, has not investigated teachers' judgments about students' early literacy skills, nor has previous research systematically examined how teachers' training and use of an objective assessment instrument impact their judgments of students' performance on that instrument. This exploratory study offers the first investigation of teachers' judgment accuracy of pre-kindergarten students' early literacy skills, and compares the judgment accuracy of teachers with and without opportunities to administer the Early Literacy Skills Assessment (ELSA). Findings suggest that teachers with opportunities to administer the ELSA had a significantly higher percentage of accurate judgments across half of the ELSA subtests, but their judgment accuracy was still no better than 50%-60% on all but one ELSA subtest. Implications for school psycholoeist practitioners and researchers are presented. (C) 2010 Wiley Periodicals, Inc.",Begeny,2010,TEACHERS' JUDGMENTS OF STUDENTS' EARLY LITERACY SKILLS MEASURED BY THE EARLY LITERACY SKILLS ASSESSMENT: COMPARISONS OF TEACHERS WITH AND WITHOUT ASSESSMENT ADMINISTRATION EXPERIENCE,PSYCHOLOGY IN THE SCHOOLS,47,859,868,Web of Science,"Begeny, John C.; Buchanan, Heather"
9,717,9,,BELLIZZI,1989,STEREOTYPICAL BELIEFS ABOUT OVERWEIGHT AND SMOKING AND DECISION-MAKING IN ASSIGNMENTS TO SALES TERRITORIES,PERCEPTUAL AND MOTOR SKILLS,69,419,429,Web of Science,"BELLIZZI, JA; KLASSEN, ML; BELONAX, JJ"
,718,2,"A sample consisting of psychologists, psychiatrists, clinical social workers, mental health counselors, marriage and family therapists, psychiatric nurses, and engineers from 6 counties from the state of Florida completed a questionnaire pertaining to the initiation of involuntary examinations. Clinical judgment in applying the law was assessed by asking respondents to make decisions concerning involuntary examination for each of 9 vignettes. Legal empowerment status and type of mental health training did not reliably predict quality of clinical judgment. Moreover, the general level of accuracy among empowered professionals (72 percent correct) was not impressive. Explanations for this pattern of results are discussed, as well as the implications for exclusion of some master's-level mental health practitioners from empowerment to make such judgments. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Belter,1999,Clinical judgments regarding involuntary commitment: A comparison of mental health professions,Journal of Psychological Practice,5,32,38,PsycINFO,"Belter, Ronald W.;Duer, Joan D.;Stanny, Claudia J."
9,719,4,"A laboratory study of performance appraisal delay and distortion (a) investigated the effects of rater gender, performance level, and feedback requirement, and (b) defined feedback delay as the separate components of appraisal delay and feedback session scheduling delay. Subjects were 64 university business students who had at least 6 months of supervisory experience. Female raters delayed longer when conducting performance appraisals and when scheduling feedback sessions with subordinates, and more positively distorted ratings than did male raters. Moderately low performers were evaluated and scheduled for feedback sessions later, and were evaluated with more positive distortion than were moderately high performers. When required to provide feedback, raters delayed longer appraising performance and distorted ratings more positively. Significant interactions suggest that when feedback is required, female raters may delay appraisals, delay scheduling feedback sessions, and more positively distort their ratings of performance, particularly when rating low performers. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Benedict,1988,Delay and distortion: Tacit influences on performance appraisal effectiveness,Journal of Applied Psychology,73,507,514,PsycARTICLES,"Benedict, Michael E.;Levine, Edward L."
,720,2,"Objectives: To investigate the construct and discriminant validity of a video-based decision-making assessment for talent identification in youth soccer.Design: Observational study.Method: A total of 328 academy youth soccer players (tier one, tier two, and tier three) from three developmental stages (late childhood, early adolescence, and mid-adolescence) participated in this study. The control group consisted of 59 youth athletes with no soccer experience in the last five years. Players completed a video-based decision-making assessment on an iPad, with response accuracy and response time recorded for various attacking situations (2 vs. 1, 3 vs. 1, 3 vs. 2, 4 vs. 3, and 5 vs. 3).Results: The video-based decision-making assessment showed some construct validity. Response times were significantly faster in early and mid-adolescent players when compared to those in the late childhood group. Furthermore, an overall decline in decision-making performance (i.e. decrease in response accuracy and increase in response time) was observed from the 2 vs. 1 to the 4 vs. 3 situations. The video-based decision-making assessment lacked discriminant validity as minimal differences between academies were evident for response accuracy and response time. Only response accuracy was able to discriminate youth academy soccer players from the control group to some extent.Conclusions: Coaches and sporting professionals should apply caution when interpreting data from practical, video-based decision-making assessments. There is currently limited conclusive evidence supporting the effectiveness of these assessments for talent identification. (C) 2018 Sports Medicine Australia. Published by Elsevier Ltd. All rights reserved.",Bennett,2019,Assessing the validity of a video-based decision-making assessment for talent identification in youth soccer,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,22,729,734,Web of Science,"Bennett, Kyle J. M.; Novak, Andrew R.; Pluss, Matthew A.; Coutts, Aaron J.; Fransen, Job"
9,721,4,"The influence of clinical history upon detection has been frequently studied. In a unique investigation, detection of diverse abnormalities commonly encountered in practice was tested, and the influence of clinical history was conceptualized as suggesting a tentative diagnosis. Categorical prompts that were correct for specific abnormalities resulted in detection superior to that with unprompted reading. Prompts that were plausible but incorrect for abnormal and normal cases led to very few false-positive responses, and subsequent reports of specific abnormalities were as accurate as in unprompted reading. It is concluded that appropriate clinical history results in improved perceptual performance rather than simply improved decision-making.",BERBAUM,1986,TENTATIVE DIAGNOSES FACILITATE THE DETECTION OF DIVERSE LESIONS IN CHEST RADIOGRAPHS,INVESTIGATIVE RADIOLOGY,21,532,539,Web of Science,"BERBAUM, KS; FRANKEN, EA; DORFMAN, DD; BARLOON, T; ELL, SR; LU, CH; SMITH, W; ABUYOUSEF, MM"
9,722,4,"This study examined performer, rater, occasion, and sequence as sources of variability in music performance assessment. Generalizability theory served as the study's basis. Performers were 8 high school wind instrumentalists who had recently performed a solo. The author audio-recorded performers playing excerpts from their solo three times, establishing an occasion variable. To establish a rater variable, 10 certified adjudicators were asked to rate the performances from 0 (poor) to 100 (excellent). Raters Were randomly assigned to one of five performance sequences, thus nesting raters within a sequence variable. Two G (generalizability) studies established that occasion and sequence produced virtually no measurement error. Raters were a strong source of error. D (decision) studies established the one-rater, one-occasion scenario as unreliable. In scenarios using the generalizability coefficient as a criterion, 5 hypothetical raters were necessary to reach the.80 benchmark. Using the dependability index, 17 hypothetical raters were necessary to reach.80.",Bergee,2007,"Performer, rater, occasion, and sequence as sources of variability in music performance assessment",JOURNAL OF RESEARCH IN MUSIC EDUCATION,55,344,358,Web of Science,"Bergee, Martin J."
9,723,9,,BERGER,1988,ACCURACY AND REPRODUCIBILITY OF CHOLESTEROL ASSAY IN THE WESTERN CAPE,SOUTH AFRICAN MEDICAL JOURNAL,74,490,495,Web of Science,"BERGER, GMB; CHRISTOPHER, K; JURITZ, JM; LIESEGANG, F"
9,724,9,,Berger,1998,Culture and ethnicity in clinical care,ARCHIVES OF INTERNAL MEDICINE,158,2085,2090,Web of Science,"Berger, JT"
,725,1,"The present study examined how patient risk factors and clinician demographics predict the assessment of suicide risk. Clinicians ( N = 333) read two vignettes, one of which manipulated patient risk factors, then rated the patient's likelihood of suicide and need for hospitalization. Clinicians’ assessments were heterogeneous. Results indicated that certain patient risk factors (access to excess medication) and clinician demographics (relationship status, religiosity) predicted perceived suicide risk; and, moreover, clinicians’ suicide risk assessment did not always align with the decision to hospitalize the patient. The authors discuss methods for standardizing clinicians’ judgment of risk and minimizing error through debiasing strategies (cognitive forcing strategy). (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Berman,2015,Effect of patient and therapist factors on suicide risk assessment,Death Studies,39,433,441,PsycINFO,"Berman, Noah C.;Stark, Abigail;Cooperman, Allison;Wilhelm, Sabine;Cohen, I. Glenn"
,726,1,"To ascertain how patient age influences suicide risk assessment, clinicians ( N = 262) read an ambiguous vignette about Bill (aged either 39 or 79 years old) and subsequently rated Bill’s suicide risk and hospitalization needs. Suicide-risk ratings varied greatly and young clinicians rated Bill’s suicide risk and hospitalization needs higher when he was elderly (79 years old); whereas, older clinicians rated Bill’s suicide risk and need for hospitalization higher when he was younger (39 years old). The interaction between patient and clinician age may reflect a “similarity” bias, such that clinicians perceive those who are different (i.e., younger or older) to be at elevated risk. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)",Berman,2016,Clinical decision making regarding suicide risk: Effect of patient and clinician age,Death Studies,40,269,274,PsycINFO,"Berman, Noah Chase;Tung, Esther S.;Matheny, Natalie;Cohen, I. Glenn;Wilhelm, Sabine"
9,727,4,"[Correction Notice: An Erratum for this article was reported in Vol 60 of Child Abuse &amp; Neglect (see record 2016-51457-010). In the original article there were some errors in pages 4 and 6. The corrections are given in the erratum.] This international comparative paper examines how child protection workers in four countries, England, Finland, Norway, USA (CA), involve children in decision making regarding involuntary child removal. The analysis is based on 772 workers’ responses to a vignette describing preparations for care order proceedings. We examine children's involvement along three dimensions including information given to the child, information gathered from the child, and opportunities for their perspectives and interests to be considered. Results show that child protection workers weigh children's involvement differently based upon age. Staff in the four countries were more likely to talk with an older child, to provide information, to gather information, and to include in relevant decision making if the child were 11 compared to five in our vignette. Although the Nordic countries and England provide policy guidance regarding children's role in child protection decision making, we did not see consistently higher indicators of children's involvement from the respondents in these countries. Using child protection system frames to analyze the findings did not produce consistent differences between the family service systems and child protection systems included in this study. Findings highlight the wide range in practices concerning children's involvement in decision making, and the wide space for professional discretion in implementing practice with children at the local level. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)",Berrick,2015,Children's involvement in care order decision-making: A cross-country analysis,Child Abuse & Neglect,49,128,141,PsycINFO,"Berrick, Jill Duerr;Dickens, Jonathan;Pösö, Tarja;Skivenes, Marit"
,728,2,"BackgroundIdentification of elevated intracranial pressure is important following traumatic brain injury. We assessed the feasibility of educating military trainees on accurately obtaining optic nerve sheath diameter measurements using a brief didactic and hands-on training session. Optic nerve sheath diameter is a noninvasive surrogate marker for elevated intracranial pressure, and may be of value in remote military operations, where rapid triage decisions must be made without access to advanced medical equipment.MethodsMilitary trainees with minimal ultrasound experience were given a 5-min didactic presentation on optic nerve sheath diameter ultrasound. Trainees practiced optic nerve sheath diameter measurements guided by emergency physician ultrasound experts. Trainees then measured the optic nerve sheath diameter on normal volunteers. Following this, a trained physician measured the optic nerve sheath diameter on the same volunteer as a criterion standard. An average of three measurements was taken.ResultsTwenty-three military trainees were enrolled. A mixed design ANOVA was used to compare measurements by trainees to those of physicians, with a mean difference of -0.6mm (P=0.76). A Bland-Altman analysis showed that the degree of bias in optic nerve sheath diameter measures provided by trainees was very small: d=-0.004 for the right eye and d=-0.007 for the left eye.ConclusionThis study demonstrates that optic nerve sheath diameter measurement can be accurately performed by novice ultrasonographers after a brief training session. If validated, point-of-care optic nerve sheath diameter measurement could impact the triage of injured patients in remote areas.",Betcher,2018,Military trainees can accurately measure optic nerve sheath diameter after a brief training session,MILITARY MEDICAL RESEARCH,5,,,Web of Science,"Betcher, Joseph; Becker, Torben K.; Stoyanoff, Peter; Cranford, Jim; Theyyunni, Nik"
9,729,9,"Examined the relationship between police officer's performance on psychological assessment instruments and on-the-job performance. 65 prospective police officers (mean age slightly over 27 yrs) who were eventually selected for work in either an inner-city police department, a major university police department, or a community college police department were evaluated initially using a battery of psychological tests (the MMPI, the Eysenck Personality Inventory, the FIRO-B, the Shipley-Institute of Living Scale for Measuring Intellectual Impairment, the SCL-90, and the Bender-Gestalt). Ss were seen for reevaluation every 2 yrs. Performance criteria were derived from a 22-item supervisor's rating scale, measures of technical ability, and 7 performance criteria. Information from personnel records was also obtained. Analysis showed that community-college-based Ss earned higher ratings for both interpersonal and technical ability, and differences as a function of personality patterns emerged that cut across departments. The 5 female Ss had lower supervisory ratings of interpersonal ability. Positive attributes were influenced by Ss' departmental assignment, with inner-city Ss seeking more schooling and receiving more commendations than Ss in the other groups. Ss' in-service behavior was associated with patterns and elevation of their MMPI profiles and interpersonal needs. Overall results show a high amount of association between psychological variables and criterion behaviors. (21 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Beutler,1985,Parameters in the prediction of police officer performance,Professional Psychology: Research and Practice,16,324,335,PsycARTICLES,"Beutler, Larry E.;Storm, Alan;Kirkish, Patricia;Scogin, Forrest;Gaines, John A."
9,730,9,"Background and purpose - Cognitive task analysis (CTA) has been used extensively to train pilots and in other surgical specialties. However, the use of CTA within orthopedics is in its infancy. We evaluated the effectiveness of a novel CTA tool to improve understanding of the procedural steps in antegrade femoral intramedullary nailing. Material and methods - Design: A modified Delphi technique was used to generate a CTA from 3 expert orthopedic trauma surgeons for antegrade femoral intramedullary nailing. The written and audiovisual information was combined to describe the technical steps, decision points, and errors for each phase of this procedure Validation: A randomized double-blind controlled trial was undertaken with 22 medical students (novices) randomized into 2 equal groups. The intervention group were given the CTA tool and the control group were given a standard operative technique manual. They were assessed using the validated ""Touch Surgery (TM)"" application assessment tool on femoral intramedullary nailing. Results - The pre-test scores between the two groups were similar. However, the post-test scores were statistically significantly better in the intervention group compared with the control group. The improvement (post-test median scores) in the intervention group compared with the control group was 20% for patient positioning and preparation, 21% for femoral preparation, 10% for proximal locking, and 19% for distal locking respectively (p < 0.001 for all comparisons). Interpretation - This is the first multimedia CTA tool in femoral intramedullary nailing that is easily accessible, user-friendly, and has demonstrated significant benefits in training novices over the traditional use of operative technique manuals.",Bhattacharyya,2018,Trauma simulation training: a randomized controlled trial -evaluating the effectiveness of the Imperial Femoral Intramedullary Nailing Cognitive Task Analysis (IFINCTA) tool,ACTA ORTHOPAEDICA,89,689,695,Web of Science,"Bhattacharyya, Rahul; Sugand, Kapil; Al-Obaidi, Bilal; Sinha, Ian; Bhattacharya, Rajarshi; Gupte, Chinmay M."
,731,2,"Practicing sport at top level requires excellent physical and cognitive skills. The goal of the present study was to investigate whether specific sport practice may affect the preparation-perception-action stages of processing during a visuo-motor task requiring perceptual discrimination and fast response. We recruited 39 participants (two groups of professional fencers and boxers, and a control group; N = 13 for each group) and measured behavioral performance and event-related potentials (ERPs) while performing a go/no-go task. Results revealed that athletes were faster than controls, while fencers were more accurate than boxers. ERP analysis revealed that motor preparation, indexed by the Bereitschaftspotential (BP), was increased in athletes than controls, whereas the top-down attentional control, reflected by the prefrontal negativity (pN) component, was enhanced only in fencers when compared to controls. Most of the post-stimulus ERPs i.e. the N1, the N2, the P3, and the pP2, were enhanced in fencers. Combat sports require fast action execution, but the preparatory brain activity might differ according to the specific practice required by each discipline. Boxers might afford to commit more errors (as reflected by high commission error (CE) rate and by a small pN amplitude), while fencers have to be as much fast and accurate as possible (thanks to an enhanced pN amplitude). Although the possible influence of repetitive head blows on cerebral activity cannot be excluded in boxers, our results suggest that cognitive benefits of high-level sport practice might also be transferred to the daily (i.e., no sport-related) activities. (C) 2016 IBRO. Published by Elsevier Ltd. All rights reserved.",Bianco,2017,DIFFERENT PROACTIVE AND REACTIVE ACTION CONTROL IN FENCERS' AND BOXERS' BRAIN,NEUROSCIENCE,343,260,268,Web of Science,"Bianco, Valentina; Di Russo, Francesco; Perri, Rinaldo Livio; Berchicci, Marika"
9,732,4,"Accurately assigning children to the most appropriate level of care is widely recognized as important. Managed care companies conduct utilization reviews in which they monitor the level of care to which clients are assigned using written placement criteria. However, no research has examined the ability of clinicians to perform this task. In the present study, 47 child and adolescent clinical profiles consisting of 48 variables were developed. Eighteen clinicians, trained to use their agency's level-of-care guidelines, made level-of-care decisions on these profiles. Their interjudge reliability in assigning a child to an appropriate level of care was close to zero (kappa =.07). There was a small, statistically significant correlation between client placement and actual placement, but chance-corrected agreement between client placement and actual placement was very low (kappa =.09). Implications of these findings for clinical research, practice, policy, and training are discussed.",Bickman,1997,Clinician reliability and accuracy in judging appropriate level of care,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,65,515,520,Web of Science,"Bickman, L; Karver, MS; Schut, LJA"
9,733,4,"The authors tested the shifting standards model (M. Biernat et al, see record 1991-18325-001) as it applies to sex- and race-based stereotyping of self and others in the military. U.S. Army officers attending a leadership training course made judgments of their own and their groupmates' leadership competence at 3 time points over a 9-week period. We examined the effects of officer sex and race on both subjective (rating) and objective/common-rule (ranking/Q-sort) evaluations. Stereotyping generally increased with time, and in accordance with the shifting standards model, pro-male judgment bias was more evident in rankings than in ratings, particularly for White targets. Self-judgments were also affected by sex-based shifting standards, particularly in workgroups containing a single (""solo"") woman. Differential standard use on the basis of race was less apparent, a finding attributed to the Army's explicit invocation against the use of differential race-based standards. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",Biernat,1998,All that you can be: Stereotyping of self and others in a military context,Journal of Personality and Social Psychology,75,301,317,PsycARTICLES,"Biernat, Monica;Crandall, Christian S.;Young, Lissa V.;Kobrynowicz, Diane;Halpin, Stanley M."
9,734,9,"The authors distinguish between minimum and confirmatory standards of incompetence and hypothesize that for groups stereotyped as relatively competent (or deficient in incompetence), minimum standards of incompetence are lower (suspicion of incompetence is triggered sooner) but confirmatory standards are higher, relative to groups stereotyped as relatively incompetent. An initial study demonstrated this evidentiary pattern for male versus female targets. In Studies 2 and 3, participants were exposed to a poor-performing male or female (Study 2) or Black or White male (Study 3) trainee and were asked to record ""notable"" behaviors in either their ""informal notes"" (instantiating a minimum standard) or a ""formal performance log"" (instantiating a confirmatory standard). Consistent with predictions, fewer incompetent behaviors were recorded in the formal log than in informal notes for White male trainees. Firing decisions generally mimicked these patterns and in Study 3 were partially mediated by the accessibility of incompetent behaviors.",Biernat,2010,Shifting Standards and the Inference of Incompetence: Effects of Formal and Informal Evaluation Tools,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,36,855,868,Web of Science,"Biernat, Monica; Fuegen, Kathleen; Kobrynowicz, Diane"
,735,2,"Professional visual searches, such as those conducted by airport security personnel, often demand highly accurate performance. As many factors can hinder accuracy, it is critical to understand the potential influences. Here, we examined how explicit decision-making criteria might affect multiple-target search performance. Non-professional searchers (college undergraduates) and professional searchers (airport security officers) classified trials as safe' or dangerous', in one of two conditions. Those in the one=dangerous' condition classified trials as dangerous if they found one or two targets, and those in the one=safe' condition only classified trials as dangerous if they found two targets. The data suggest an important role of context that may be mediated by experience; non-professional searchers were more likely to miss a second target in the one=dangerous condition (i.e., when finding a second found target did not change the classification), whereas professional searchers were more likely to miss a second in the one=safe condition.",Biggs,2015,Differences in multiple-target visual search performance between non-professional and professional searchers due to decision-making criteria,BRITISH JOURNAL OF PSYCHOLOGY,106,551,563,Web of Science,"Biggs, Adam T.; Mitroff, Stephen R."
9,736,9,"IMPORTANCE Debate continues regarding whether to further restrict resident duty hour policies, but little high-level evidence is available to guide policy changes.OBJECTIVE To inform decision making regarding duty hour policies, the Flexibility in Duty Hour Requirements for Surgical Trainees (FIRST) Trial is being conducted to evaluate whether changing resident duty hour policies to permit greater flexibility in work hours affects patient postoperative outcomes, resident education, and resident well-being.DESIGN, SETTING, AND PARTICIPANTS Pragmatic noninferiority cluster-randomized trial of general surgery residency programs with 2 study arms. Participating in the study are Accreditation Council for Graduate Medical Education (ACGME)-approved US general surgery residency programs (n = 118), their affiliated hospitals (n = 154), surgical residents and program directors, and general surgery patients from July 1, 2014, to June 30, 2015, with additional patient safety outcomes collected through June 30, 2016. The data collection platform for patient outcomes is the American College of Surgeons National Surgical Quality Improvement Program (ACS NSQIP), thus only hospitals participating in the ACS NSQIP were included.INTERVENTIONS In the usual care arm, programs adhered to current ACGME resident duty hour standards. In the intervention arm, programs were allowed to deviate from current standards regarding maximum shift lengths and minimum time off between shifts through an ACGME waiver.MAIN OUTCOMES AND MEASURES Death or serious morbidity within 30 days of surgery measured through ACS NSQIP, as well as resident satisfaction and well-being measured through a survey delivered at the time of the 2015 American Board of Surgery in Training Examination (ABSITE).RESULTS A total of 118 general surgery residency programs and 154 hospitals were enrolled in the FIRST Trial and randomized. Fifty-nine programs (73 hospitals) were randomized to the usual care arm and 59 programs (81 hospitals) were randomized to the intervention arm. Intent-to-treat analysis will be used to estimate the effectiveness of assignment to the intervention arm on patient outcomes, resident education, and resident well-being compared with the usual care arm. Several sensitivity analyses will be performed to determine whether there were differential effects when examining only inpatients, high-risk patients, and emergent/urgent cases.CONCLUSIONS AND RELEVANCE To our knowledge, the FIRST Trial is the first national randomized clinical trial of duty hour policies. Results of this study may be informative to policymakers and other stakeholders engaged in restructuring graduate medical training to enhance the quality of patient care and resident education.",Bilimoria,2016,Development of the Flexibility in Duty Hour Requirements for Surgical Trainees (FIRST) Trial Protocol A National Cluster-Randomized Trial of Resident Duty Hour Policies,JAMA SURGERY,151,273,281,Web of Science,"Bilimoria, Karl Y.; Chung, Jeanette W.; Hedges, Larry V.; Dahlke, Allison R.; Love, Remi; Cohen, Mark E.; Tarpley, John; Mellinger, John; Mahvi, David M.; Kelz, Rachel R.; Ko, Clifford Y.; Hoyt, David B.; Lewis, Frank H."
,737,2,"INTRODUCTION: The effectiveness of a tiered emergency medical services system often hinges upon the ability of initial care providers with little or no formal training to identify emergent patient needs and determine the best means to meet those needs.OBJECTIVES: To determine if out-of-hospital emergency care providers consistently make appropriate triage, transportation, and destination decisions; and to determine if experience and training have an effect on these decisions.METHODS: A survey consisting of 14 patient-care scenarios was administered to certified and non-certified out-of-hospital emergency-care providers (n = 311) from 20 randomly selected EMS agencies. These agencies were part of EMS systems that utilize one, two, and three tiered responses by ambulance and fire-based commercial, municipal, and volunteer agencies. Participants were asked to select the most appropriate mode of transport and destination facility using the assumption that they had responded to each scenario in a basic life support ambulance. Answers included transporting the patient to various receiving facilities or requesting a more advanced-level unit to respond to the scene. Transport times to receiving facilities and estimated times of arrival for advanced-level units were provided with each choice. Eight emergency physicians unanimously had agreed upon the most appropriate answer for each scenario. A two-tailed t-test was used to compare the scores of the certified and non-certified groups; and Spearman's Correlation Coefficients were used to test the effects of experience and training.RESULTS: Non-certified providers (n = 108) had a mean score of 32.6% or 4.6 (SD = 1.84) correct answers; certified providers (n = 203) had a mean score of 41.1% or 5.76 (SD = 2.12) correct answers (p < 0.000001). Spearman's Correlation Coefficients were: 1) individual provider level--(0.3978); 2) agency provider level--(0.2741); 3) hours worked per week--(0.2505); 4) years in EMS--(-0.0821); 5) commercial or volunteer provider--(0.2398); 6) agency call volume--(0.2012); 7) agency location--(0.0685), and 8) transporting versus non-transporting agency--(0.2523).CONCLUSIONS: A need exists for further education of out-of-hospital emergency care providers with respect to triage, transportation, and destination decisions. Provider experience and level of certification do not appear to affect these critical patient-care decisions.",Billittier,1998,"Triage, transportation, and destination decisions by out-of-hospital emergency care providers.",Prehospital and disaster medicine,13,22,7,Web of Science,"Billittier, A J; Lerner, E B; Moscati, R M; Young, G"
